DATE_TIME	TIMESTAMP	HEART_RATE	CADENCE	SPEED_SENSOR	SPEED_GPS	SPEED_SMOOTHED	PRESSURE	TEMPERATURE	LATITUDE_6	LONGITUDE_6	ACCURACY_GPS	ALTITUDE_GPS	ALTITUDE_BARO	ALTITUDE_SMOOTHED	DISTANCE_SENSOR	DISTANCE_GPS	BEARING	SLOPE_GPS	SLOPE_SMOOTHED	V_SPEED_GPS	V_SPEED_SMOOTHED
2023-02-03T18:11:16+0100	1675444276374																				
2023-02-03T18:11:17+0100	1675444277624	70																			
2023-02-03T18:11:18+0100	1675444278874	70																			
2023-02-03T18:11:20+0100	1675444280124	69																			
2023-02-03T18:11:21+0100	1675444281374	67																			
2023-02-03T18:11:22+0100	1675444282624	68																			
2023-02-03T18:11:23+0100	1675444283874	71																			
2023-02-03T18:11:25+0100	1675444285124	73																			
2023-02-03T18:11:26+0100	1675444286374	75																			
2023-02-03T18:11:27+0100	1675444287624	78																			
2023-02-03T18:11:28+0100	1675444288874	77																			
2023-02-03T18:11:30+0100	1675444290124	75																			
2023-02-03T18:11:31+0100	1675444291374	73																			
2023-02-03T18:11:32+0100	1675444292624	70																			
2023-02-03T18:11:33+0100	1675444293874	70																			
2023-02-03T18:11:35+0100	1675444295124	70																			
2023-02-03T18:11:36+0100	1675444296374	70																			
2023-02-03T18:11:37+0100	1675444297624	70																			
2023-02-03T18:11:38+0100	1675444298874	79																			
2023-02-03T18:11:40+0100	1675444300124	85																			
2023-02-03T18:11:41+0100	1675444301374	86																			
2023-02-03T18:11:42+0100	1675444302624	84																			
2023-02-03T18:11:43+0100	1675444303874	83																			
2023-02-03T18:11:45+0100	1675444305124	83																			
2023-02-03T18:11:46+0100	1675444306374	84																			
2023-02-03T18:11:47+0100	1675444307624	86																			
2023-02-03T18:11:48+0100	1675444308874	87																			
2023-02-03T18:11:50+0100	1675444310124	86																			
2023-02-03T18:11:51+0100	1675444311374	78																			
2023-02-03T18:11:52+0100	1675444312624	75																			
2023-02-03T18:11:53+0100	1675444313874	74																			
2023-02-03T18:11:55+0100	1675444315124	73																			
2023-02-03T18:11:56+0100	1675444316374	74																			
2023-02-03T18:11:57+0100	1675444317624	79																			
2023-02-03T18:11:58+0100	1675444318874	82																			
2023-02-03T18:12:00+0100	1675444320124	82																			
2023-02-03T18:12:01+0100	1675444321374	80																			
2023-02-03T18:12:02+0100	1675444322624	77																			
2023-02-03T18:12:03+0100	1675444323874	75																			
2023-02-03T18:12:05+0100	1675444325124	76																			
2023-02-03T18:12:06+0100	1675444326374	77																			
2023-02-03T18:12:07+0100	1675444327624	79																			
2023-02-03T18:12:08+0100	1675444328874	80																			
2023-02-03T18:12:10+0100	1675444330124	78																			
2023-02-03T18:12:11+0100	1675444331374	77																			
2023-02-03T18:12:12+0100	1675444332624	78																			
2023-02-03T18:12:13+0100	1675444333874	80																			
2023-02-03T18:12:15+0100	1675444335124	83																			
2023-02-03T18:12:16+0100	1675444336374	86																			
2023-02-03T18:12:17+0100	1675444337624	86																			
2023-02-03T18:12:18+0100	1675444338874	85																			
2023-02-03T18:12:20+0100	1675444340124	84																			
2023-02-03T18:12:21+0100	1675444341374	83																			
2023-02-03T18:12:22+0100	1675444342624	83																			
2023-02-03T18:12:23+0100	1675444343874	83																			
2023-02-03T18:12:25+0100	1675444345124	81																			
2023-02-03T18:12:26+0100	1675444346374	80																			
2023-02-03T18:12:27+0100	1675444347624	80																			
2023-02-03T18:12:28+0100	1675444348874	80																			
2023-02-03T18:12:30+0100	1675444350124	80																			
2023-02-03T18:12:31+0100	1675444351374	81																			
2023-02-03T18:12:32+0100	1675444352624	80																			
2023-02-03T18:12:33+0100	1675444353874	80																			
2023-02-03T18:12:35+0100	1675444355124	79																			
2023-02-03T18:12:36+0100	1675444356374	79																			
2023-02-03T18:12:37+0100	1675444357624	78																			
2023-02-03T18:12:38+0100	1675444358874	78																			
2023-02-03T18:12:40+0100	1675444360124	78																			
2023-02-03T18:12:41+0100	1675444361374	78																			
2023-02-03T18:12:42+0100	1675444362624	79																			
2023-02-03T18:12:43+0100	1675444363874	82																			
2023-02-03T18:12:45+0100	1675444365124	81																			
2023-02-03T18:12:46+0100	1675444366374	81																			
2023-02-03T18:12:47+0100	1675444367624	81																			
2023-02-03T18:12:48+0100	1675444368874	81																			
2023-02-03T18:12:50+0100	1675444370124	82																			
2023-02-03T18:12:51+0100	1675444371374	83																			
2023-02-03T18:12:52+0100	1675444372624	84																			
2023-02-03T18:12:53+0100	1675444373874	86																			
2023-02-03T18:12:55+0100	1675444375124	87																			
2023-02-03T18:12:56+0100	1675444376374	88																			
2023-02-03T18:12:57+0100	1675444377624	89																			
2023-02-03T18:12:58+0100	1675444378874	88																			
2023-02-03T18:13:00+0100	1675444380124	88																			
2023-02-03T18:13:01+0100	1675444381374	89																			
2023-02-03T18:13:02+0100	1675444382624	89																			
2023-02-03T18:13:03+0100	1675444383874	90																			
2023-02-03T18:13:05+0100	1675444385124	90																			
2023-02-03T18:13:06+0100	1675444386374	91																			
2023-02-03T18:13:07+0100	1675444387624	92																			
2023-02-03T18:13:08+0100	1675444388874	93																			
2023-02-03T18:13:10+0100	1675444390124	94																			
2023-02-03T18:13:11+0100	1675444391374	94																			
2023-02-03T18:13:12+0100	1675444392624	94																			
2023-02-03T18:13:13+0100	1675444393874	93																			
2023-02-03T18:13:15+0100	1675444395124	91																			
2023-02-03T18:13:16+0100	1675444396374	89																			
2023-02-03T18:13:17+0100	1675444397624	87																			
2023-02-03T18:13:18+0100	1675444398874	86																			
2023-02-03T18:13:20+0100	1675444400124	87																			
2023-02-03T18:13:21+0100	1675444401374	87																			
2023-02-03T18:13:22+0100	1675444402624	88																			
2023-02-03T18:13:23+0100	1675444403874	90																			
2023-02-03T18:13:25+0100	1675444405124	90																			
2023-02-03T18:13:26+0100	1675444406374	90																			
2023-02-03T18:13:27+0100	1675444407624	90																			
2023-02-03T18:13:28+0100	1675444408874	89																			
2023-02-03T18:13:30+0100	1675444410124	87																			
2023-02-03T18:13:31+0100	1675444411374	86																			
2023-02-03T18:13:32+0100	1675444412624	86																			
2023-02-03T18:13:33+0100	1675444413874	87																			
2023-02-03T18:13:35+0100	1675444415124	87																			
2023-02-03T18:13:36+0100	1675444416374	88																			
2023-02-03T18:13:37+0100	1675444417624	87																			
2023-02-03T18:13:38+0100	1675444418874	86																			
2023-02-03T18:13:40+0100	1675444420124	84																			
2023-02-03T18:13:41+0100	1675444421374	82																			
2023-02-03T18:13:42+0100	1675444422624	82																			
2023-02-03T18:13:43+0100	1675444423874	83																			
2023-02-03T18:13:45+0100	1675444425124	84																			
2023-02-03T18:13:46+0100	1675444426374	86																			
2023-02-03T18:13:47+0100	1675444427624	88																			
2023-02-03T18:13:48+0100	1675444428874	87																			
2023-02-03T18:13:50+0100	1675444430124	87																			
2023-02-03T18:13:51+0100	1675444431374	85																			
2023-02-03T18:13:52+0100	1675444432624	83																			
2023-02-03T18:13:53+0100	1675444433874	83																			
2023-02-03T18:13:55+0100	1675444435124	83																			
2023-02-03T18:13:56+0100	1675444436374	83																			
2023-02-03T18:13:57+0100	1675444437624	83																			
2023-02-03T18:13:58+0100	1675444438874	82																			
2023-02-03T18:14:00+0100	1675444440124	79																			
2023-02-03T18:14:01+0100	1675444441374	78																			
2023-02-03T18:14:02+0100	1675444442624	76																			
2023-02-03T18:14:03+0100	1675444443874	74																			
2023-02-03T18:14:05+0100	1675444445124	72																			
2023-02-03T18:14:06+0100	1675444446374	73																			
2023-02-03T18:14:07+0100	1675444447624	74																			
2023-02-03T18:14:08+0100	1675444448874	75																			
2023-02-03T18:14:10+0100	1675444450124	77																			
2023-02-03T18:14:11+0100	1675444451374	76																			
2023-02-03T18:14:12+0100	1675444452624	74																			
2023-02-03T18:14:13+0100	1675444453874	72																			
2023-02-03T18:14:15+0100	1675444455124	72																			
2023-02-03T18:14:16+0100	1675444456374	72																			
2023-02-03T18:14:17+0100	1675444457624	73																			
2023-02-03T18:14:18+0100	1675444458874	73																			
2023-02-03T18:14:20+0100	1675444460124	77																			
2023-02-03T18:14:21+0100	1675444461374	79																			
2023-02-03T18:14:22+0100	1675444462624	79																			
2023-02-03T18:14:23+0100	1675444463874	79																			
2023-02-03T18:14:25+0100	1675444465124	79																			
2023-02-03T18:14:26+0100	1675444466374	79																			
2023-02-03T18:14:27+0100	1675444467624	79																			
2023-02-03T18:14:28+0100	1675444468874	79																			
2023-02-03T18:14:30+0100	1675444470124	79																			
2023-02-03T18:14:31+0100	1675444471374	79																			
2023-02-03T18:14:32+0100	1675444472624	82																			
2023-02-03T18:14:33+0100	1675444473874	87																			
2023-02-03T18:14:35+0100	1675444475124	91																			
2023-02-03T18:14:36+0100	1675444476374	92																			
2023-02-03T18:14:37+0100	1675444477624	92																			
2023-02-03T18:14:38+0100	1675444478874	92																			
2023-02-03T18:14:40+0100	1675444480124	92																			
2023-02-03T18:14:41+0100	1675444481374	92																			
2023-02-03T18:14:42+0100	1675444482624	92																			
2023-02-03T18:14:43+0100	1675444483874	92																			
2023-02-03T18:14:45+0100	1675444485124	93																			
2023-02-03T18:14:46+0100	1675444486374	94																			
2023-02-03T18:14:47+0100	1675444487624	94																			
2023-02-03T18:14:48+0100	1675444488874	94																			
2023-02-03T18:14:50+0100	1675444490124	94																			
2023-02-03T18:14:51+0100	1675444491374	94																			
2023-02-03T18:14:52+0100	1675444492624	94																			
2023-02-03T18:14:53+0100	1675444493874	96																			
2023-02-03T18:14:55+0100	1675444495124	99																			
2023-02-03T18:14:56+0100	1675444496374	98																			
2023-02-03T18:14:57+0100	1675444497624	97																			
2023-02-03T18:14:58+0100	1675444498874	97																			
2023-02-03T18:15:00+0100	1675444500124	97																			
2023-02-03T18:15:01+0100	1675444501374	97																			
2023-02-03T18:15:02+0100	1675444502624	97																			
2023-02-03T18:15:03+0100	1675444503874	100																			
2023-02-03T18:15:05+0100	1675444505124	102																			
2023-02-03T18:15:06+0100	1675444506374	102																			
2023-02-03T18:15:07+0100	1675444507624	102																			
2023-02-03T18:15:08+0100	1675444508874	102																			
2023-02-03T18:15:10+0100	1675444510124	102																			
2023-02-03T18:15:11+0100	1675444511374	104																			
2023-02-03T18:15:12+0100	1675444512624	106																			
